G ((inv ∧ (¬ fin)) W (fin ∧ (G (inv ∧ (¬ del)))));Either always inv and not fin, or fin will happen and from now on there will always be inv and ~del.
G ((inv ∧ (¬ fin)) W (fin ∧ (inv W (inv ∧ rea))));Always inv and maybe fin and then maybe rea.
G ((inv ∧ (¬ fin)) W (fin ∧ ((inv ∧ (¬ del)) W (inv ∧ rea))));Always inv and possibly fin, and from then on there will be ~del until perhaps rea.
G ((¬rel) → ((¬ fin) W (fin ∧ ((¬ del) W rel))));Whenever it's not rel, fin will probably come, and from that point on there will be ~del until maybe rel happens.
G ((¬rel) → ((¬ fin) W (fin ∧ ((¬ del) W (rel v rea)))));Whenever it's not rel, fin will probably come, and from that point on there will be ~del until maybe rel or rea happens.
G ((¬rel) → ((inv ∧ (¬ fin)) W (fin ∧ (inv W rel))));Whenever not rel, then inv and not fin, until perhaps fin happens, and from that moment on, inv will be, until perhaps this rel happens.
G ((¬rel) → ((inv ∧ (¬ fin)) W (fin ∧ (inv W (rel v (inv ∧ rea))))));Whenever it's not rel, then inv and not fin, until perhaps fin happens, and from that moment on, inv will be, until perhaps it's rel or rea with inv preserved.
G ((¬rel) → ((inv ∧ (¬ fin)) W (fin ∧ ((inv ∧ (¬ del)) W rel))));Whenever it's not rel, it's inv and not fin, until perhaps fin happens, and from that point on, inv and ~del will be, until perhaps it's rel.
G ((¬rel) → ((inv ∧ (¬ fin)) W (fin ∧ ((inv ∧ (¬ del)) W (rel v (inv ∧ rea))))));Whenever it's not rel, it's inv and not fin, until perhaps fin happens, and from that moment on, inv and ~del will be, until perhaps it's rel or rea with inv preserved.
;
;
;
G (rel v ((¬ fin) W (fin ∧ ((¬ del) W rel))));Always either rel or maybe fin will happen, and from that point on there will be ~del until maybe rel happens.
G (rel v ((¬ fin) W (fin ∧ ((¬ del) W (rel v rea)))));It's always either rel or maybe fin happens, and from that point on there's ~del until maybe rel or rea happens.
G (rel v ((inv ∧ (¬ fin)) W (fin ∧ (inv W rel))));Always either rel or inv and not fin until perhaps fin happens and from then on inv will be until perhaps that rel happens.
G (rel v ((inv ∧ (¬ fin)) W (fin ∧ (inv W (rel v (inv ∧ rea))))));Always either rel or inv and not fin until perhaps fin happens and from then on inv will be until perhaps it is rel or rea with inv remaining.
G (rel v ((inv ∧ (¬ fin)) W (fin ∧ ((inv ∧ (¬ del)) W rel))));Always either rel or inv and not fin until fin might happen and from then on inv and ~del will be until maybe rel happens.
G (rel v ((inv ∧ (¬ fin)) W (fin ∧ ((inv ∧ (¬ del)) W (rel v (inv ∧ rea))))));Always either rel or inv and not fin, until perhaps fin happens and from then on inv and ~del will be, until perhaps it's rel or rea with inv preserved.
